 NARRATIVE,S JORDAN AVE,39.1672661,-86.51619777
900642364,2007,3,3,Weekday,1200,3+ Cars,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,ADAMS & KIRKWOOD AVE,39.16681365,-86.54931161
900757429,2007,10,3,Weekday,1700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,N GATES DR,39.166813,-86.57597
900648299,2007,3,2,Weekday,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,5TH ST & JEFFERSON,39.1668,-86.508299
900806402,2007,12,4,Weekday,1600,Pedestrian,No injury/unknown,UNSAFE BACKING,N ROGERS ST,39.16679543,-86.53860604
900776416,2007,11,3,Weekday,1200,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SOUTH YANCY ST,39.166783,-86.569489
900778897,2007,11,5,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRANT ST & KIRKWOOD,39.16677733,-86.529696
900658933,2007,4,5,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ELM & KIRKWOOD AVE,39.16677153,-86.5455528
900623184,2007,1,4,Weekday,1300,Pedestrian,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,KIRKWOOD AVE,39.16677127,-86.54552653
900623193,2007,1,4,Weekday,1600,Cyclist,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,FORREST & KIRKWOOD ST,39.16677127,-86.54552653
900674309,2007,5,3,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,EAST KIRKWOOD ST,39.16677127,-86.54552653
900677503,2007,5,3,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ELM & WEST 5TH ST,39.166768,-86.5452
900639964,2007,3,7,Weekend,0,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,KIRKWOOD ST & WALDRON,39.16674658,-86.54412906
900738077,2007,9,5,Weekday,2200,2-Car,No injury/unknown,UNSAFE BACKING,S WALDRON ST & W KIRKWOOD,39.166736,-86.5436
900666872,2007,5,3,Weekday,1700,2-Car,No injury/unknown,IMPROPER PASSING,KIRKWOOD AVE & WALDRON,39.16673488,-86.54349416
900669742,2007,5,5,Weekday,0,1-Car,No injury/unknown,ALCOHOLIC BEVERAGES,KIRKWOOD AVE & MAPLE,39.16672,-86.542096
900679328,2007,5,6,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD AVE & MAPLE,39.16672,-86.542096
900677505,2007,5,3,Weekday,1300,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,FAIRVIEW & KIRKWOOD AVE,39.166704,-86.5408
900732767,2007,8,5,Weekday,1600,Bus,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,INDIANA AVE & KIRKWOOD,39.16669492,-86.52689759
900758051,2007,10,4,Weekday,1400,2-Car,No injury/unknown,BRAKE FAILURE OR DEFECTIVE,424 S COLLEGE AVE & SECOND,39.16669208,-86.53489044
